2026-06-23 18:24:24.914 | DEBUG    | ttnn:<module>:79 - Initial ttnn.CONFIG:
Config{cache_path=/home/mvasiljev/.cache/ttnn,model_cache_path=/home/mvasiljev/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_graph_python_stack_traces=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
2026-06-23 18:24:30.149 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 6 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.149 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 25 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.149 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 25 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.150 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 9 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.150 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 9 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.150 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 1 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.150 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 1 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.150 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 2 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.150 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 2 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.151 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 16 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.151 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 16 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.152 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 5 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.152 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 5 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.152 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 24 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.152 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 24 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.153 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 8 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.153 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 8 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.154 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 0 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.154 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 0 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.154 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 11 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.154 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 11 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.155 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 27 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.155 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 27 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.155 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 19 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.155 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 19 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.156 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 4 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
2026-06-23 18:24:30.156 | warning  |             UMD | ---- ttSiliconDevice::init_hugepage: bind_area_to_memory_nodeset() failed (physical_device_id: 4 ch: 0). Hugepage allocation is not on NumaNode matching TT Device. Side-Effect is decreased Device->Host perf (Issue #893). (silicon_sysmem_manager.cpp:246)
2026-06-23 18:24:30.156 | warning  |             UMD | hwloc_set_area_membind(): failed for physical_device_id: 12 on NodeSet: [0] with errno: Operation not permitted (pid: 30 tid: 136529259872384) (cpuset_lib.cpp:440)
