name,src_file,src_line,zone_name,zone_text,ns_since_start,exec_time_ns,thread,special_parent_text
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,7671983257,830,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,7697410200,1070,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,9402180805,900,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,9470493839,850,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,9496788058,860,1,
PY_FUNC__iterencode,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/json/encoder.py,422,,,11173448791,860,1,
PY_FUNC_acquire,<frozen importlib._bootstrap>,106,,,4125291998,730,1,
PY_FUNC_acquire,<frozen importlib._bootstrap>,106,,,5943937518,820,1,
PY_FUNC_acquire,<frozen importlib._bootstrap>,106,,,5944587889,810,1,
PY_FUNC_acquire,<frozen importlib._bootstrap>,106,,,5944637010,540,1,
PY_FUNC_PyTorchPickler,/opt/venv/lib/python3.10/site-packages/torch/serialization.py,1249,,,5948389549,1940,1,
PY_FUNC_PyTorchPickler,/opt/venv/lib/python3.10/site-packages/torch/serialization.py,1249,,,7671240243,2150,1,
PY_FUNC_PyTorchPickler,/opt/venv/lib/python3.10/site-packages/torch/serialization.py,1249,,,9469757136,2450,1,
PY_FUNC_PyTorchPickler,/opt/venv/lib/python3.10/site-packages/torch/serialization.py,1249,,,11172721288,1970,1,
PY_FUNC___init__,/opt/venv/lib/python3.10/site-packages/torch/serialization.py,811,,,5943881407,4480181,1,
PY_FUNC___init__,/opt/venv/lib/python3.10/site-packages/torch/serialization.py,811,,,7670980188,236745,1,
PY_FUNC___init__,/opt/venv/lib/python3.10/site-packages/torch/serialization.py,811,,,9469510941,222664,1,
PY_FUNC___init__,/opt/venv/lib/python3.10/site-packages/torch/serialization.py,811,,,11172462153,235555,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,4131705885,2016847,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,4133725522,23460,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,4133751492,523410,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,4136198727,1125750,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,5840151627,1804753,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,5841958690,25000,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,5841985710,495309,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,5843845224,1112581,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,5961565269,1629749,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,5963198018,25311,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,5963225769,465628,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,5965021552,1011628,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,7685436872,1682440,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,7687122342,23251,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,7687147823,492469,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,7688956666,1012838,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,9390323579,1594819,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,9391920908,22630,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,9391945748,467889,1,
PY_FUNC__select_from,/usr/local/share/uv/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/pathlib.py,495,,,9393699970,1004629,1,
