GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
64515,0,12,3,blackhole,,8,110,,,362,6798,14611094507925,14611094517102,5806,14611094509088,14611094516926,5747,14611094509168,14611094516926,4206,5224,5750,5500,5684,,3776,3836
64515,0,13,3,blackhole,,8,110,,,367,6722,14611095590497,14611095599572,5760,14611095591616,14611095599392,5684,14611095591719,14611095599392,4235,5164,5681,5450,5619,,3751,3828
64515,0,14,3,blackhole,,8,110,,,388,6774,14611096670378,14611096679523,5781,14611096671547,14611096679351,5729,14611096671617,14611096679351,4241,5218,5730,5472,5669,,3782,3834
64515,0,15,3,blackhole,,8,110,,,379,6844,14611097751601,14611097760841,5846,14611097752763,14611097760655,5793,14611097752835,14611097760655,4222,5269,5794,5537,5733,,3887,3941
64515,0,16,3,blackhole,,8,110,,,373,6700,14611098834252,14611098843297,5723,14611098835380,14611098843106,5647,14611098835483,14611098843106,4210,5134,5649,5413,5589,,3710,3786
64515,0,17,3,blackhole,,7,110,,,374,6177,14611099918413,14611099926752,5669,14611099918925,14611099926578,5441,14611099919233,14611099926578,3944,4919,5392,5360,5312,,3761,3989
64515,0,18,3,blackhole,,4,110,,,368,6104,14611100999528,14611101007769,5639,14611100999981,14611101007593,5375,14611101000337,14611101007593,3910,4864,5327,5331,5244,,3703,3966
64515,0,19,3,blackhole,,4,110,,,367,6184,14611102084019,14611102092368,5702,14611102084503,14611102092201,5473,14611102084812,14611102092201,3918,4955,5427,5396,5338,,3767,3995
64515,0,20,3,blackhole,,4,110,,,357,6106,14611103163746,14611103171989,5642,14611103164202,14611103171819,5376,14611103164562,14611103171819,3913,4855,5344,5336,5247,,3809,4076
64515,0,21,3,blackhole,,1,110,,,399,6110,14611104244739,14611104252987,5666,14611104245172,14611104252821,5374,14611104245566,14611104252821,3873,4853,5314,5357,5244,,3892,4184
64515,0,22,3,blackhole,,1,110,,,363,6098,14611105324834,14611105333066,5653,14611105325267,14611105332898,5373,14611105325645,14611105332898,3875,4850,5354,5346,5249,,3906,4186
64515,0,23,3,blackhole,,1,110,,,381,6087,14611106401683,14611106409901,5649,14611106402103,14611106409729,5341,14611106402519,14611106409729,3887,4817,5286,5340,5222,,3913,4222
65539,0,1,3,blackhole,,80,110,,,1184,56582,14611082583891,14611082660277,54439,14611082586635,14611082660128,54439,14611082586635,14611082660128,54420,41696,52980,52912,53215,,596,596
65539,0,2,3,blackhole,,80,110,,,1156,56427,14611083668944,14611083745120,54403,14611083671531,14611083744975,54403,14611083671531,14611083744975,54390,41694,52972,52907,53191,,592,592
65539,0,3,3,blackhole,,80,110,,,1167,56672,14611084750047,14611084826554,54467,14611084752875,14611084826406,54467,14611084752875,14611084826406,54467,41737,53024,52973,53259,,596,596
65539,0,4,3,blackhole,,80,110,,,1190,56580,14611085827722,14611085904105,54561,14611085830288,14611085903946,54560,14611085830290,14611085903946,54559,41827,53136,53072,53359,,571,573
65539,0,5,3,blackhole,,80,110,,,1224,56434,14611086910852,14611086987038,54463,14611086913356,14611086986881,54463,14611086913356,14611086986881,54463,41721,53027,52961,53250,,538,538
65539,0,6,3,blackhole,,80,110,,,1195,56395,14611087992257,14611088068390,54408,14611087994792,14611088068243,54408,14611087994792,14611088068243,54395,41672,52976,52910,53201,,548,548
65539,0,7,3,blackhole,,80,110,,,1184,56644,14611089077964,14611089154434,54539,14611089080653,14611089154281,54539,14611089080653,14611089154281,54539,41836,53127,53064,53361,,586,586
65539,0,8,3,blackhole,,80,110,,,1170,56597,14611090160663,14611090237069,54630,14611090163166,14611090236916,54630,14611090163166,14611090236916,54627,41886,53177,53124,53409,,602,602
65539,0,9,3,blackhole,,80,110,,,1162,56431,14611091245666,14611091321848,54446,14611091248197,14611091321699,54444,14611091248199,14611091321699,54429,41729,53013,52957,53240,,583,584
65539,0,10,3,blackhole,,80,110,,,1153,56264,14611092328660,14611092404616,54392,14611092331030,14611092404459,54391,14611092331031,14611092404459,54390,41670,52947,52902,53188,,597,598
65539,0,11,3,blackhole,,80,110,,,1146,56438,14611093434223,14611093510414,54470,14611093436732,14611093510266,54470,14611093436732,14611093510266,54456,41781,53039,52975,53267,,607,607
65539,0,12,3,blackhole,,80,110,,,1171,56625,14611094515013,14611094591457,54523,14611094517700,14611094591306,54521,14611094517702,14611094591306,54521,41775,53084,53021,53319,,573,575
65539,0,13,3,blackhole,,80,110,,,1166,56398,14611095597595,14611095673732,54365,14611095600191,14611095673584,54364,14611095600192,14611095673584,54364,41642,52947,52883,53181,,592,593
65539,0,14,3,blackhole,,80,110,,,1210,56412,14611096677470,14611096753626,54357,14611096680094,14611096753476,54357,14611096680094,14611096753476,54357,41630,52927,52860,53149,,550,550
65539,0,15,3,blackhole,,80,110,,,1148,56877,14611097758698,14611097835482,54727,14611097761453,14611097835334,54725,14611097761455,14611097835334,54708,42001,53288,53224,53522,,591,593
65539,0,16,3,blackhole,,80,110,,,1137,56670,14611098841366,14611098917870,54681,14611098843903,14611098917723,54680,14611098843905,14611098917723,54664,41941,53244,53184,53478,,590,592
65539,0,17,3,blackhole,,79,110,,,1185,56069,14611099924853,14611100000546,54101,14611099927360,14611100000397,54100,14611099927362,14611100000397,54099,41710,52625,52562,52855,,579,581
65539,0,18,3,blackhole,,76,110,,,1143,56005,14611101005921,14611101081528,54027,14611101008445,14611101081382,54027,14611101008445,14611101081382,54014,41634,52544,52479,52776,,631,631
65539,0,19,3,blackhole,,76,110,,,1139,56297,14611102090455,14611102166456,54278,14611102093032,14611102166307,54278,14611102093032,14611102166307,54278,41817,52804,52745,53033,,616,616
65539,0,20,3,blackhole,,69,110,,,1153,56184,14611103170277,14611103246126,54308,14611103172662,14611103245978,54308,14611103172662,14611103245978,54308,41776,52833,52768,53064,,624,624
